component_id,repo,primary_category,categories,component_kind,capability,name,normalized_name,path,extension,lines,exports,imports,dependency_roots,framework,package_manager,confidence,reuse_score,extraction_status,ai_scaffold_recommended,process_relevance,automation_relevance,logic_relevance,description,evidence,file_hash
ffe041e9a4738c9d01a807ea,mbarbine__platphorm-jules,frontend,"frontend,ui,ai",feature-ui,auth-and-keys,empty-state,empty-state,components/jules/empty-state.tsx,.tsx,99,EmptyState,"@/components/ui/button,@/components/ui/card,@/hooks/use-settings,@/lib/i18n,@/lib/utils,lucide-react,next/link","@/components,@/hooks,@/lib,lucide-react,next",next-react,pnpm,100,45,site-specific-or-low-confidence,True,none,none,none,"Frontend component for auth-and-keys; review as feature component, provider, page, or hook.","exports:EmptyState | imports:@/components/ui/button, @/components/ui/card, @/hooks/use-settings, @/lib/i18n, @/lib/utils, lucide-react, next/link | frontend-score:115 | ui-score:55 | ai-score:45",ac617c24951cdd25
0707cf34f3266d5782cc0cfa,mbarbine__platphorm-jules,frontend,"frontend,ui",feature-ui,auth-and-keys,breadcrumbs.test,breadcrumbs,components/jules/breadcrumbs.test.tsx,.tsx,28,,"./breadcrumbs,@testing-library/react,vitest","@testing-library/react,vitest",next-react,pnpm,85,55,catalog-only,False,none,none,none,"Frontend component for auth-and-keys; review as feature component, provider, page, or hook.","imports:./breadcrumbs, @testing-library/react, vitest | frontend-score:85 | ui-score:55",1812c4f7055aca96
23d548bb98e7a5aec76d9dcb,mbarbine__platphorm-jules,frontend,"frontend,ui,observability,security",feature-ui,observability,breadcrumbs,breadcrumbs,components/jules/breadcrumbs.tsx,.tsx,46,Breadcrumbs,"lucide-react,next/link,next/navigation","lucide-react,next",next-react,pnpm,100,55,catalog-only,False,none,none,none,"Frontend component for observability; review as feature component, provider, page, or hook.","exports:Breadcrumbs | imports:lucide-react, next/link, next/navigation | frontend-score:115 | ui-score:55 | observability-score:55 | security-score:55",c44322559e61c8e3
412d3983252d713912a3344d,mbarbine__platphorm-jules,frontend,"frontend,ui,observability,ai",feature-ui,observability,session-card,session-card,components/jules/session-card.tsx,.tsx,129,"SessionCard,SessionCardSkeleton","@/components/ui/badge,@/components/ui/card,@/components/ui/skeleton,@/lib/types,@/lib/utils,date-fns,lucide-react,next/link,react","@/components,@/lib,date-fns,lucide-react,next,react",next-react,pnpm,100,45,site-specific-or-low-confidence,True,none,none,none,"Frontend component for observability; review as feature component, provider, page, or hook.","exports:SessionCard, SessionCardSkeleton | imports:@/components/ui/badge, @/components/ui/card, @/components/ui/skeleton, @/lib/types, @/lib/utils, date-fns, lucide-react, next/link | frontend-score:115 | ui-score:70 | observability-score:55 | ai-score:45",bf1b97542713bccf
90c564cd4f8e783a7c62c8a9,mbarbine__platphorm-jules,frontend,"frontend,ui",feature-ui,general,loading-overlay,loading-overlay,components/jules/loading-overlay.tsx,.tsx,29,"LoadingOverlay,LoadingSpinner","@/lib/utils,lucide-react","@/lib,lucide-react",next-react,pnpm,100,30,site-specific-or-low-confidence,False,none,none,none,"Frontend component for general; review as feature component, provider, page, or hook.","exports:LoadingOverlay, LoadingSpinner | imports:@/lib/utils, lucide-react | frontend-score:115 | ui-score:55",d1ae70fbd1339d15
10d526047b12fd3fbd0350c5,mbarbine__platphorm-jules,frontend,"frontend,ui",feature-ui,testing,breadcrumb-usage.test,breadcrumb-usage,components/jules/breadcrumb-usage.test.tsx,.tsx,22,,"@/components/ui/breadcrumb,@testing-library/react,vitest","@/components,@testing-library/react,vitest",next-react,pnpm,85,30,site-specific-or-low-confidence,False,none,none,none,"Frontend component for testing; review as feature component, provider, page, or hook.","imports:@/components/ui/breadcrumb, @testing-library/react, vitest | frontend-score:85 | ui-score:55",9985aa4abed113a0
9974c56555cc94ada15be021,mbarbine__platphorm-jules,frontend,"frontend,ui,observability,automation,ai",feature-ui,ai,session-card.test,session-card,components/jules/session-card.test.tsx,.tsx,41,,"./session-card,@/lib/types,@testing-library/react,vitest","@/lib,@testing-library/react,vitest",next-react,pnpm,85,45,site-specific-or-low-confidence,True,none,secondary,none,"Frontend component for ai; review as feature component, provider, page, or hook.","imports:./session-card, @/lib/types, @testing-library/react, vitest | frontend-score:85 | ui-score:55 | observability-score:55 | automation-score:45 | ai-score:45",03670974fa960442
6812fc19748042c72ba23045,mbarbine__platphorm-jules,frontend,"frontend,ui,observability",feature-ui,observability,header.test,header,components/jules/header.test.tsx,.tsx,70,,"./header,@testing-library/react,vitest","@testing-library/react,vitest",next-react,pnpm,85,55,catalog-only,True,none,none,none,"Frontend component for observability; review as feature component, provider, page, or hook.","imports:./header, @testing-library/react, vitest | frontend-score:85 | ui-score:55 | observability-score:55",0fe99f81acb42b43
c6e1325f1bda2fd4d4119b62,mbarbine__platphorm-jules,frontend,"frontend,ui",feature-ui,testing,loading-overlay.test,loading-overlay,components/jules/loading-overlay.test.tsx,.tsx,23,,"./loading-overlay,@testing-library/react,vitest","@testing-library/react,vitest",next-react,pnpm,85,40,site-specific-or-low-confidence,False,none,none,none,"Frontend component for testing; review as feature component, provider, page, or hook.","imports:./loading-overlay, @testing-library/react, vitest | frontend-score:85 | ui-score:55",1356eb02ca5ff521
dc238290257bd1833f086066,mbarbine__platphorm-jules,frontend,"frontend,ui",feature-ui,i18n,code-block.test,code-block,components/jules/code-block.test.tsx,.tsx,40,,"./code-block,@testing-library/react,vitest","@testing-library/react,vitest",next-react,pnpm,85,55,catalog-only,False,none,none,none,"Frontend component for i18n; review as feature component, provider, page, or hook.","imports:./code-block, @testing-library/react, vitest | frontend-score:85 | ui-score:55",65eceaeecc77c4f1
