component_id,repo,primary_category,categories,component_kind,capability,name,normalized_name,path,extension,lines,exports,imports,dependency_roots,framework,package_manager,confidence,reuse_score,extraction_status,ai_scaffold_recommended,process_relevance,automation_relevance,logic_relevance,description,evidence,file_hash
9dcaddd09ea32eb06bdf7874,mbarbine__Scripts,style,"style,backend,security",stylesheet,auth-and-keys,mode_test,mode-test,h4x/dagah-server/html/js/codemirror/test/mode_test.css,.css,23,,,,css,unknown,65,55,shared-style-candidate,False,none,none,none,"Style component for auth-and-keys; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130 | backend-score:55 | security-score:55,c3efc5f2e994d7d5
edd90e1460aba939db6e096a,mbarbine__Scripts,style,"style,backend,observability,automation",stylesheet,observability,tiddlywiki,tiddlywiki,h4x/dagah-server/html/js/codemirror/mode/tiddlywiki/tiddlywiki.css,.css,14,,,,css,unknown,65,55,shared-style-candidate,False,none,secondary,none,"Style component for observability; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130 | backend-score:55 | observability-score:55 | automation-score:45,12e784b7a98f6319
472c00174288685d3a572b7d,mbarbine__Scripts,style,"style,backend",stylesheet,commerce,tiki,tiki,h4x/dagah-server/html/js/codemirror/mode/tiki/tiki.css,.css,26,,,,css,unknown,65,40,shared-style-candidate,False,none,none,none,"Style component for commerce; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130 | backend-score:55,69ad6cec8b5f6b46
a94a5118af05fa2bea88ab26,mbarbine__Scripts,style,"style,backend,observability,security",design-token,observability,icecoder,icecoder,h4x/dagah-server/html/js/codemirror/theme/icecoder.css,.css,43,,,,css,unknown,65,80,shared-style-candidate,True,none,none,none,"Style component for observability; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130 | backend-score:55 | observability-score:55 | security-score:55,04e5b0465536346f
73a20aaa5b0b13d9d759f9d4,mbarbine__Scripts,style,"style,backend,observability,security",design-token,observability,xq-light,xq-light,h4x/dagah-server/html/js/codemirror/theme/xq-light.css,.css,43,,,,css,unknown,65,80,shared-style-candidate,True,none,none,none,"Style component for observability; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130 | backend-score:55 | observability-score:55 | security-score:55,a523f9e8fc269bdd
ececaa0c11f36cbb7121827f,mbarbine__Scripts,style,"style,backend,observability,security",design-token,observability,the-matrix,the-matrix,h4x/dagah-server/html/js/codemirror/theme/the-matrix.css,.css,30,,,,css,unknown,65,80,shared-style-candidate,False,none,none,none,"Style component for observability; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130 | backend-score:55 | observability-score:55 | security-score:55,35bd22d0282b2a1a
a0be82e3d3c50ed4a9a4a2b4,mbarbine__Scripts,style,"style,backend,security",design-token,editor,neo,neo,h4x/dagah-server/html/js/codemirror/theme/neo.css,.css,43,,,,css,unknown,65,65,shared-style-candidate,True,none,none,none,"Style component for editor; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130 | backend-score:55 | security-score:55,a919e6daa7d3fd0e
083fd991286225e83637426d,mbarbine__Scripts,style,"style,backend,observability,security",design-token,observability,lesser-dark,lesser-dark,h4x/dagah-server/html/js/codemirror/theme/lesser-dark.css,.css,47,,,,css,unknown,65,80,shared-style-candidate,False,none,none,none,"Style component for observability; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130 | backend-score:55 | observability-score:55 | security-score:55,80180694d372b121
628bc3924cd6d1d9d7fc985b,mbarbine__Scripts,style,"style,backend,observability,security",design-token,observability,3024-day,3024-day,h4x/dagah-server/html/js/codemirror/theme/3024-day.css,.css,41,,,,css,unknown,65,80,shared-style-candidate,False,none,none,none,"Style component for observability; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130 | backend-score:55 | observability-score:55 | security-score:55,7c9126a1d8a38be7
5a7c1292286c33f59ace54c6,mbarbine__Scripts,style,"style,backend,observability,security",design-token,observability,hopscotch,hopscotch,h4x/dagah-server/html/js/codemirror/theme/hopscotch.css,.css,34,,,,css,unknown,65,80,shared-style-candidate,False,none,none,none,"Style component for observability; review for shared tokens, theme, palette, Tailwind, or global style normalization.",style-score:130 | backend-score:55 | observability-score:55 | security-score:55,2074da3b102459c6
